CampaignId,EntryNo,RegistrationNo,NoClaimBonus,InsCompany,InsId,FLData,FLResponse,FLStatus,PBVehicleId,SQRequest,SQResponse,SQStatus,SQCount
42,BNG-0192816-01-R-3,KA01MJ1511,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
43,MUM-0605081-01,KA01MJ3970,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
44,BNG-0598255-01,KA01MK2408,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
45,BNG-0452759-01-R-1,KA01ML1078,20,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
46,BNG-0287190-01-R-2,KA01ML2211,25,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
47,BNG-0622237-01,KA01ML6633,20,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
48,BNG-0600684-01,KA01MM2280,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
49,BNG-0410851-01-R-1,KA01MM2709,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
50,BNG-0453179-01-R-1,KA01MM4595,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
51,BNG-0196173-01-R-3,KA02ME5070,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
52,BNG-0202891-01-R-3,KA02ME7894,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
53,BNG-0408206-01-R-1,KA02MG5938,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
54,BNG-0202240-01-R-3,KA02MG6323,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
55,BNG-0289155-01-R-2,KA02MH5786,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
56,BNG-0291976-01-R-2,KA02MH7006,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
57,BNG-0614016-01,ka03ac2332,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
58,BNG-0620624-01,KA03AC3043,20,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
59,BNG-0604306-01,KA03MK7648,0,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
60,BNG-0588668-01,KA03MN9923,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
61,BNG-0202231-01-R-3,KA03MP0427,50,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
62,BNG-0138756-01-R-4,KA03MP1376,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
63,BNG-0598912-01,KA03MQ7463,25,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
64,BNG-0202730-01-R-3,KA03MQ8037,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
65,BNG-0630283-01,KA03MR2190,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
66,BNG-0414850-01-R-1,KA03MS4618,35,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
67,BNG-0598301-01,KA03MU0616,25,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
68,BNG-0607162-01,KA03MU2669,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
69,BNG-0603513-01,KA03MW1954,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
70,BNG-0452707-01-R-1,KA03MX0090,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
71,BNG-0604970-01,KA04AA2436,20,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
72,BNG-0607150-01,KA04ME1430,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
73,BNG-0102621-01-R-5,KA04MF4286,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
74,BNG-0618816-01,KA04MG0214,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
75,BNG-0200681-01-R-3,KA04MJ5042,20,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
76,MUM-0400393-01-R-1,KA04MK7672,45,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
77,BNG-0605717-01,KA04MK7928,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
78,BNG-0616690-01,KA04MK9079,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
79,BNG-0290649-01-R-2,KA04MM2658,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
80,BNG-0616819-01,KA04MM3512,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
81,BNG-0600693-01,KA04MN5808,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
82,BNG-0615098-01,KA04MN7113,0,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
83,AHD-0076407-01-R-6,GJ01KD6265,25,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
84,AHD-0023492-02-R-6,GJ01KD7615,25,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
85,SRT-0606509-01,GJ01KE0457,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
86,AHD-0103337-01-R-5,GJ01KE0793,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
87,AHD-0193202-01-R-3,GJ01KE1359,25,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
88,AHD-0077674-01-R-6,GJ01KE2882,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
89,AHD-0079084-01-R-6,GJ01KF3343,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
90,AHD-0079875-01-R-7,GJ01KF7576,35,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
91,AHD-0199796-01-R-3,GJ01KF8865,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
92,AHD-0136315-01-R-5,GJ01KJ7937,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
93,AHD-0136068-01-R-4,GJ01KJ7974,35,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
94,AHD-0412213-01-R-1,GJ01KJ9347,25,ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD,10,,,0,0,,,0,0
95,AHD-0208087-01-R-3,GJ01KJ9517,50,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
96,AHD-0408565-01-R-1,GJ01KJ9716,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
97,AHD-0205840-01-R-3,GJ01KL0154,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
98,AHD-0102061-01-R-3,GJ01KL1552,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
99,AHD-0206176-01-R-3,GJ01KL1735,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
100,AHD-0103388-01-R-5,GJ01KL1932,45,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
101,AHD-0207356-01-R-3,GJ01KL2031,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
102,AHD-0103919-01-R-5,GJ01KL3146,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
103,KOLK-0405008-01-R-1,JH05AP3549,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
104,SRI-0618430-01,JK05B7054,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
105,SRI-0606038-01,JK05B8515,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
106,SRI-0632474-01,JK09A4809,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
107,SRI-0409780-01-R-1,JK13B8999,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
108,SRI-0204096-01-R-3,JK13C212117,35,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
109,BNG-0619232-01,KA01AB4112,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
110,BNG-0279902-01-R-3,KA01MF6873,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
111,BNG-0279902-01-R-3-ED-1,KA01MF6873,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
112,BNG-0102348-01-R-5,KA01MF8150,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
113,BNG-0194383-01-R-3,KA01MJ0710,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
114,CHE-0287407-01-R-2,KA01MJ1025,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
115,BNG-0603034-01,KA01MJ1069,45,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
116,BNG-0287968-01-R-2,KA01MJ1169,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
117,BNG-0631314-01,KA01MJ2022,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
118,BNG-0630376-02,KA01MK1954,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
119,BNG-0291575-01-R-2,KA01ML3232,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
120,BNG-0606021-01,KA01MM2891,20,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
121,BNG-0409941-01-R-1,KA02ME5314,0,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
122,BNG-0623229-01,KA02MG5805,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
123,BNG-0601667-01,KA02MG6016,45,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
124,BNG-0604373-01,KA02MH5753,35,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
125,BNG-0616554-01,KA02MH6095,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
126,BNG-0631345-01,KA02MH6565,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
127,CHE-0293446-01-R-2,KA02MH6590,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
128,BNG-0603578-01,KA02MJ5827,25,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
129,BNG-0452781-01-R-1,KA02MJ7127,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
130,BNG-0632538-01,KA03D2062,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
131,BNG-0290004-01-R-2,KA03MA1676,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
132,BNG-0100661-01-R-5,KA03MD8011,50,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
133,BNG-0138760-01-R-4,KA03ML2315,25,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
134,BNG-0209472-01-R-3,KA03MM6346,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
135,BNG-0135855-01-R-4,KA03MM9726,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
136,BNG-0605689-01,KA03MP1855,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
137,MUM-0126212-765-R-2,KA03MQ9072,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
138,BNG-0631323-01,KA03MQ9536,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
139,BNG-0451480-01-R-1,KA03MQ9598,25,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
140,BNG-0176611-02-R-2,KA03MR6605,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
141,BNG-0606951-01,KA03MS3540,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
142,BNG-0599197-01,KA03MS3685,35,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
143,BNG-0614089-01,KA03MS3745,35,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
144,BNG-0287886-01-R-2,KA03MS3968,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
145,BNG-0605572-01,KA03MU3791,0,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
146,BNG-0622888-01,KA03MW2892,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
147,BNG-0106966-02-R-1,KA03MW3085,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
148,BNG-0191604-01-R-3,KA04D3463,25,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
149,BNG-0614782-01,KA04M3884,35,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
150,BNG-0403720-01-R-1,KA04MH3173,50,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
151,HYD-0409811-03-R-1,KA04MH3565,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
152,BNG-0200780-01-R-3,KA04MK8429,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
153,BNG-0402525-01-R-1,KA04MM2815,25,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
154,BNG-0618931-01,KA04MQ2328,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
155,AHD-0618970-01,GJ01KC2647,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
156,SRT-0622331-01,GJ01KD3726,45,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
157,AHD-0620226-01,GJ01KD4955,45,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
158,AHD-0132132-01-R-4,GJ01KD5114,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
159,AHD-0283900-01-R-2,GJ01KD5884,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
160,AHD-0195830-02-R-3,GJ01KD6369,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
161,AHD-0057305-02-R-6,GJ01KD7554,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
162,AHD-0078260-01-R-6,GJ01KD9635,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
163,AHD-0620318-01,GJ01KE0388,25,NATIONAL INSURANCE CO LTD,8,,,0,0,,,0,0
164,AHD-0060569-03-R-1,GJ01KE3114,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
165,AHD-0079677-01-R-6,GJ01KE3135,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
166,AHD-0079510-01-R-6,GJ01KG2669,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
167,AHD-0132332-01-R-4,GJ01KJ3786,45,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
168,AHD-0270295-01-R-2,GJ01KJ9092,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
169,AHD-0777437-01,GJ01KJ9418,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
170,AHD-0102564-01-R-5,GJ01KJ9458,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
171,CHND-0617413-01,HR42B7666,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
172,DEL-0605157-01,HR51AA6313,0,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
173,IND-0629908-01,HR51AF1122,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
174,DEL3-0411368-01-R-1,HR51AJ0954,25,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
175,DEL-0296177-01-R-2,HR51AN5626,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
176,DEL-0597650-01,HR51AS2012,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
177,DEL-0409330-01-R-1,HR51BA0051,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
178,DEL-0621114-01,HR51BF2859,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
179,DEL-0604174-01,HR51Q9870,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
180,DEL-0208027-01-R-3,HR55QT7276,35,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
181,DEL-0414258-01-R-1,HR70C8308,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
182,DEL-0620820-01,HR76B5050,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
183,DEL-0633207-01,HR77A3270,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
184,DEL-0414127-01-R-1,JH22A8055,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
185,SRI-0407999-02,JK01AA0644,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
186,SRI-0455797-01-R-1,JK01AA3079,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
187,SRI-0614615-01,JK01K9487,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
188,SRI-0205540-01-R-3,JK01M8443,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
189,SRI-0294854-01-R-2,JK01U4188,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
190,SRI-0210371-01-R-3,JK01U9545,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
191,SRI-0297629-01-R-1,JK01W4228,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
192,AHD-0451664-01-R-1,GJ01KL3801,25,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
193,AHD-0621422-02,GJ01KL4001,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
194,AHD-0630016-01,GJ01KL4558,50,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
195,AHD-0618350-01,GJ01KL4829,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
196,GNDH-0048677-02-R-5,GJ01KL7210,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
197,AHD-0406506-01-R-1,GJ01KM2019,50,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
198,AHD-0061965-02-R-4-ED-1,GJ01KN1790,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
199,AHD-0606208-01,GJ01KQ1983,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
200,AHD-0201057-01-R-3,GJ01KQ3124,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
201,AHD-0136298-01-R-4,GJ01KQ3316,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
202,AHD-0410631-01-R-1,GJ01KQ3910,45,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
203,AHD-0607501-01-ED-1,GJ01KQ3933,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
204,AHD-0289120-01-R-2,GJ01KQ3990,45,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
205,AHD-0138168-01-R-4,GJ01KQ4613,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
206,SRT-0599126-01,GJ01KQ4828,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
207,AHD-0292200-01-R-2,GJ01KQ5160,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
208,AHD-0136113-01-R-6,GJ01KQ5632,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
209,AHD-0137334-01-R-4,GJ01KQ5683,45,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
210,AHD-0137741-01-R-4,GJ01KQ5736,45,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
211,AHD-0137344-01-R-4,GJ01KQ6024,45,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
